	index	sentence	origin	lang	max_1_col_ulmfit	max_2_col_ulmfit	max_3_col_ulmfit	max_1_ulmfit	max_3_ulmfit	max_1_col_bert	max_2_col_bert	max_3_col_bert	max_1_bert	max_3_bert	same_1	same_3	cosine_sim
836	907	Since 1999 it has been the seat of the Istituto Veneto di Scienze, Lettere ed Arti and frequently houses cultural events	2074	en	Criteria iii	Criteria vi	Criteria iv	0.3908876776695251	0.8796696439385414	Criteria vi	Criteria i	Criteria iv	0.3977611	0.77176785	False	0.5	0.7199073863574963
837	908	The palace was erected in 1565	2074	en	Criteria i	Criteria iv	Criteria ii	0.3932953476905823	0.7958426028490067	Criteria i	Criteria iv	Criteria ii	0.4596914	0.86324	True	1.0	0.9861244561687694
838	909	In the 19th century it was internally modernised and externally enriched in Venetian Gothic style, with rich window framing, by a series of grand owners	2074	en	Criteria iv	Criteria i	Criteria ii	0.4401873350143432	0.9309923350811004	Criteria i	Criteria iv	Criteria ii	0.587903	0.92192644	False	1.0	0.7965750671969445
839	910	The first neo-Gothic improvements were made after 1840, when the young Archduke Frederick Ferdinand of Austria reassembled the property, the Palazzo Cavalli-Gussoni, which had become divided among heirs, and embarked on a complex project intended to give a more prominent Habsburg presence along the Grand Canal, as Austria-Hungary had been awarded the territories of Venice after the Napoleonic Wars	2074	en	Criteria ii	Criteria iv	Criteria iii	0.4737901389598846	0.8753923028707504	Criteria ii	Criteria iv	Criteria i	0.36333966	0.92821026	True	0.5	0.8834198480921763
840	911	At his premature death, unmarried, in 1847 the palazzo was bought by Henri, comte de Chambord, styled .Henri V	2074	en	Criteria vi	Criteria iii	Criteria iv	0.4400428533554077	0.7633456885814667	Criteria i	Criteria iv	Criteria ii	0.34879193	0.7669975	False	0.2	0.6274937054233802
841	912	by Bourbon legitimists, who entrusted further restorations to Giambattista Meduna	2074	en	Criteria ii	Criteria vi	Criteria iii	0.3655508458614349	0.7828730046749115	Criteria iii	Criteria ii	Criteria iv	0.2882789	0.7088567	False	0.5	0.7980695302237296
842	913	his portrait on the balcony, with Santa Maria Della Salute in the background, is in the Palazzo Ducale, Modena	2074	en	Criteria i	Criteria vi	Criteria ii	0.6394363641738892	0.904443807899952	Criteria i	Criteria vi	Criteria ii	0.7148249	0.89775264	True	1.0	0.9907999455848572
843	914	In 1878 Baron Raimondo Franchetti, who had married Sarah Luisa de Rothschild, daughter of Anselm Salomon Rothschild of the Vienna Rothschilds, bought the palazzo and commissioned further works by architect Camillo Boito, who constructed the grand staircase	2074	en	Criteria ii	Criteria vi	Criteria i	0.3291083872318268	0.819137454032898	Criteria i	Criteria iv	Criteria ii	0.8480603	0.9439084	False	0.5	0.45967294507960155
844	915	In September 1922 it was sold to the Istituto Federale di Credito per il Risorgimento delle Venezie by Franchetti's widow	2074	en	Criteria ii	Criteria i	Criteria iii	0.2283434271812439	0.6703721731901169	Criteria i	Criteria iv	Criteria ii	0.39328495	0.78149974	False	0.5	0.8278355448065592
845	916	Soaking up the complexity of an installation at the Venice Biennale, 2019	2078	en	Criteria iv	Criteria i	Criteria ii	0.322842538356781	0.8278087228536606	Criteria i	Criteria iv	Criteria vi	0.721417	0.8306725	False	0.5	0.6993255620560548
846	917	Peggy Guggenheim Collection, Venice	2080	en	Criteria iii	Criteria iv	Criteria vi	0.5195627808570862	0.7858846783638	Criteria i	Criteria ii	Criteria iii	0.635567	0.76972324	False	0.2	0.3151544527396145
847	918	It has title of Gallery patrons	2080	en	Criteria x	Criteria vii	Criteria viii	0.2128406763076782	0.5811071842908859	Criteria iii	Criteria i	Criteria vi	0.2732264	0.7124113	False	0.0	0.45441783871960867
848	919	It has title of An afternoon look at The Grand Canal and Venetian skyline	2081	en	Criteria i	Criteria iv	Criteria iii	0.2527883648872375	0.6791385263204575	Criteria i	Criteria vii	Criteria iv	0.51183534	0.76792824	True	0.5	0.707300263762866
849	920	It has tags of alpha, alpha, a, aussicht, sony, stimmung, sky, wasser, color, city, canale, grande, farben, fe, sel, sel, zeiss, ilce, ilce, iii, italia, italien, view, venice, venedig, veneto, building, boote, mood, perspektive, panorama, travel, reisen, europa, emount, europe, h, water, sightseeing	2083	en	Criteria iii	Criteria iv	Criteria vi	0.4948380291461944	0.7685210034251213	Criteria ii	Criteria i	Criteria vi	0.39230046	0.72958535	False	0.2	0.3393504258619615
850	921	It has tags of venezia, italy, night, city	2085	en	Criteria iii	Criteria vi	Criteria iv	0.3699404299259186	0.7938488274812698	Criteria iv	Criteria iii	Criteria i	0.26109013	0.627667	False	0.5	0.8249458756988833
851	922	It has tags of italy, italia, venezia, venice, man, woman, piazza, marco, winter, cold, weather, water, st, mark, square, sony, sony, alpha, carl, zeiss, batis, carlzeiss, lenses, girl, people, life, batis, bw, black, white, reflection, love, romantic, honeymoon, couple	2114	en	Criteria vi	Criteria iii	Criteria iv	0.4936502873897552	0.8689912967383862	Criteria vi	Criteria ii	Criteria iv	0.26641673	0.73197585	True	0.5	0.6740401280185631
852	923	View along the Rio Di Palazzo (Palace River) in Venice	2117	en	Criteria vi	Criteria i	Criteria iii	0.2114059776067733	0.5817302763462067	Criteria i	Criteria vi	Criteria iv	0.3905666	0.7606707	False	0.5	0.8512106031881663
853	924	It has title of Shops	2121	en	Criteria iii	Criteria vi	Criteria iv	0.483586698770523	0.7559178322553635	Criteria iii	Criteria iv	Criteria x	0.22077887	0.5491909	True	0.5	0.8067891877461254
854	925	It has tags of family, janelea, joelbatham, peteralbion	2121	en	Criteria iii	Criteria vi	Criteria iv	0.6819811463356018	0.9080209359526634	Criteria iii	Criteria iv	Criteria i	0.52470547	0.77104044	True	0.5	0.9745365141820977
855	926	It has title of Narrow alleys	2136	en	Criteria vii	Criteria iii	Criteria viii	0.2395983338356018	0.6177496165037155	Criteria iv	Criteria v	Criteria iii	0.44623607	0.83524585	False	0.2	0.44114405915681565
856	927	It has title of Plastic beach	2138	en	Criteria i	Criteria vii	Criteria iii	0.3082837462425232	0.6483908668160439	Criteria vii	Criteria x	Criteria viii	0.81304437	0.8907487	False	0.2	0.5747915572874075
857	928	It has tags of garbage, trash, plastic, pollution, beach, sand	2138	en	Criteria iii	Criteria v	Criteria iv	0.455267995595932	0.7021643668413162	Criteria vi	Criteria iii	Criteria iv	0.32978812	0.598088	False	0.5	0.6601413628453403
858	929	It has tags of architecture, explore, italy, symmetry, venice, img, clothes, hanging, washing, housing, apartments, old, clothesline, quiet, residential, stone	2146	en	Criteria iii	Criteria iv	Criteria v	0.4886611700057983	0.8817391619086266	Criteria iv	Criteria ii	Criteria i	0.7305397	0.9245454	False	0.2	0.5530171460695155
859	930	It has tags of cloud, explore, italy, longexposure, reflection, symmetry, venice, water, img, rialto, bridge, grand, canal, gondola, night	2147	en	Criteria viii	Criteria vii	Criteria ix	0.4459855854511261	0.9465459659695624	Criteria i	Criteria vii	Criteria ii	0.68454784	0.82017064	False	0.2	0.1265764915844024
860	931	It has title of Nearly friends	2152	en	Criteria viii	Criteria vii	Criteria i	0.2141486704349517	0.5235853642225266	Criteria i	Criteria x	Criteria iii	0.1928592	0.51134	False	0.2	0.7396471708258864
861	934	Cannaregio one of the six sestieri of Venice in Veneto, Italy	2157	en	Criteria vi	Criteria ii	Criteria iii	0.3648978471755981	0.7443926185369492	Criteria iii	Criteria vi	Criteria iv	0.29095608	0.73894244	False	0.5	0.8803981747421963
862	935	Cannaregio is the northernmost of the six historic sestieri (districts) of Venice	2157	en	Criteria iv	Criteria iii	Criteria x	0.2204819023609161	0.5390408560633659	Criteria iv	Criteria ii	Criteria vi	0.8047531	0.9122523	True	0.2	0.6448343672976715
863	936	It is the second largest sestiere by land area and the largest by population, with 13,169 people as of 2007	2157	en	Criteria vii	Criteria x	Criteria viii	0.4377069473266601	0.8876481056213379	Criteria x	Criteria ix	Criteria v	0.6850644	0.8081804	False	0.2	0.6025448460910242
864	937	Isola di San Michele, the historic cemetery island, is associated with the district	2157	en	Criteria vi	Criteria iii	Criteria iv	0.4077343046665191	0.8236451148986816	Criteria iv	Criteria ii	Criteria vi	0.7824454	0.9276712	False	0.5	0.44558340342873026
865	938	The Cannaregio Canal, which was the main route into the city until the construction of a railway link to the mainland, gave the district its name (Canal Regio is Italian for Royal Canal)	2157	en	Criteria ii	Criteria iv	Criteria i	0.3700032234191894	0.8547279089689255	Criteria iv	Criteria ii	Criteria i	0.783037	0.9332065	False	1.0	0.6931580982486147
866	939	Development began in the eleventh century as the area was drained and parallel canals were dredged	2157	en	Criteria iv	Criteria ii	Criteria iii	0.368754893541336	0.7745628952980042	Criteria iv	Criteria ii	Criteria i	0.6814503	0.90295744	True	0.5	0.8784824610853862
867	940	Although elegant palazzos were built facing the Grand Canal, the area grew primarily with working class housing and manufacturing	2157	en	Criteria iv	Criteria ii	Criteria i	0.6493576765060425	0.8969689235091209	Criteria iv	Criteria ii	Criteria vi	0.8589402	0.9409385	True	0.5	0.9749431718817105
868	941	Beginning in 1516, Jews were restricted to living in the Venetian Ghetto	2157	en	Criteria iii	Criteria iv	Criteria ii	0.3147228062152862	0.762352854013443	Criteria vi	Criteria iv	Criteria iii	0.40821987	0.85350233	False	0.5	0.7203563036846774
869	942	It was enclosed by guarded gates and no one was allowed to leave from sunset to dawn	2157	en	Criteria iii	Criteria iv	Criteria i	0.3312826156616211	0.7526158690452576	Criteria vi	Criteria iii	Criteria iv	0.36919987	0.7286804	False	0.5	0.6906651892641257
870	943	However, Jews held successful positions in the city such as merchants, physicians, money lenders, and other trades	2157	en	Criteria ii	Criteria iii	Criteria vi	0.4140981137752533	0.8516715615987778	Criteria iii	Criteria iv	Criteria vi	0.6955466	0.8945874	False	0.5	0.6664905688716352
871	944	Restrictions on daily Jewish life continued for more than 270 years, until Napoleon Bonaparte conquered the Venetian Republic in 1797	2157	en	Criteria iii	Criteria vi	Criteria iv	0.4856578707695007	0.8311051428318024	Criteria iii	Criteria iv	Criteria vi	0.48377421	0.8521241	True	1.0	0.9842405827658189
872	945	He removed the gates and gave all residents the freedom to live where they chose	2157	en	Criteria vi	Criteria iii	Criteria iv	0.365445464849472	0.8118759393692017	Criteria vi	Criteria iii	Criteria iv	0.49575812	0.8469801	True	1.0	0.9576609465249099
873	946	In the 19th century, civil engineers built a street named Strada Nuova through Cannaregio, and a railway bridge and road bridge were constructed to connect Venice directly to Mestre	2157	en	Criteria ii	Criteria iv	Criteria i	0.5714459419250488	0.9154504016041756	Criteria ii	Criteria iv	Criteria i	0.84408104	0.95073044	True	1.0	0.938546775774051
874	947	Today, the areas of the district along the Grand Canal from the train station to the Rialto Bridge are packed with tourists, but the rest of Cannaregio is residential and relatively peaceful, with morning markets, neighbourhood shops, and small cafés	2157	en	Criteria v	Criteria iv	Criteria iii	0.5417222380638123	0.9384411126375198	Criteria iv	Criteria v	Criteria vi	0.47163543	0.7907461	False	0.5	0.7750092950960279
875	948	One of the thousands of picturesque scenes that the city of wet sidewalks offers us.	2159	en	Criteria vii	Criteria i	Criteria vi	0.5286267995834351	0.8060404062271118	Criteria vii	Criteria x	Criteria viii	0.88142806	0.91850495	True	0.2	0.9211056562854708
876	949	It has title of Venice waterway	2159	en	Criteria iii	Criteria vi	Criteria i	0.2839058935642242	0.6471095085144043	Criteria x	Criteria vii	Criteria ix	0.33042845	0.6659498	False	0.0	0.32096696024500804
877	950	It has tags of venice, italy, venetian, gondola, river, canal, waterway, iconic, picturesque	2159	en	Criteria iii	Criteria ii	Criteria vi	0.3408701717853546	0.7957542836666107	Criteria iv	Criteria i	Criteria ii	0.46006036	0.88408595	False	0.2	0.5135387654679031
878	951	The historic center of the Venetian city looks out over the Grand Canal.	2160	en	Criteria iv	Criteria ii	Criteria i	0.309509813785553	0.6745851635932922	Criteria iv	Criteria vi	Criteria i	0.45196614	0.754344	True	0.5	0.8615017296171762
879	952	It has title of Cloudy day in Venice	2160	en	Criteria vi	Criteria iii	Criteria viii	0.3312079012393951	0.5838659033179283	Criteria iv	Criteria i	Criteria vi	0.19480614	0.5398655	False	0.2	0.7780284288335717
880	953	It has tags of venice, italy, cloudy, river, landscape, canal	2160	en	Criteria ii	Criteria iii	Criteria iv	0.3783853948116302	0.8727284967899323	Criteria i	Criteria ii	Criteria iv	0.3987164	0.8762561	False	0.5	0.5629509875109546
881	955	It has tags of cathedral, medieval, ornate, gothic, stone, carved, italian, venice, italy, architecture, arch, archway	2162	en	Criteria iv	Criteria iii	Criteria ii	0.5176151990890503	0.858014315366745	Criteria ii	Criteria i	Criteria iv	0.4443145	0.8806584	False	0.5	0.5959474913708027
882	956	The Rio di Sant'Anna a canal in Castello one of the six sestieri of Venice in Veneto, Italy	2166	en	Criteria i	Criteria vi	Criteria ii	0.2808178961277008	0.6615393459796906	Criteria i	Criteria iv	Criteria ii	0.4392683	0.87893593	True	0.5	0.8262923771215157
883	957	It is named after the Sant'Anna church	2166	en	Criteria vi	Criteria i	Criteria iii	0.3523429036140442	0.7798013389110565	Criteria i	Criteria iv	Criteria ii	0.43041477	0.77237886	False	0.2	0.7603377767520935
884	958	Before 1807, it linked the Ponte de la Veneta Marina to the Riva San Biasio, but it was buried and this part today constitutes Via Garibaldi	2166	en	Criteria ii	Criteria iv	Criteria vi	0.2522575259208679	0.6498026549816132	Criteria i	Criteria iv	Criteria ii	0.7102686	0.911102	False	0.5	0.4934403938146671
885	959	The Cannaregio Canal in Cannaregio one of the six sestieri of Venice in Veneto, Italy	2167	en	Criteria ii	Criteria i	Criteria iv	0.2853909730911255	0.7444198280572891	Criteria i	Criteria iv	Criteria ii	0.51803833	0.8590578	False	1.0	0.7775703546722139
886	960	It was the main route into the city until the construction of a railway link to the mainland, gave the district its name (Canal Regio is Italian for Royal Canal)	2167	en	Criteria ii	Criteria iv	Criteria i	0.3823675811290741	0.8368937224149704	Criteria iv	Criteria ii	Criteria i	0.55808526	0.9032107	False	1.0	0.8858932545211743
887	961	Development began in the eleventh century as the area was drained and parallel canals were dredged	2167	en	Criteria iv	Criteria ii	Criteria iii	0.368754893541336	0.7745628952980042	Criteria iv	Criteria ii	Criteria i	0.6814503	0.90295744	True	0.5	0.8784824610853862
888	962	Although elegant palazzos were built facing the Grand Canal, the area grew primarily with working class housing and manufacturing	2167	en	Criteria iv	Criteria ii	Criteria i	0.6493576765060425	0.8969689235091209	Criteria iv	Criteria ii	Criteria vi	0.8589402	0.9409385	True	0.5	0.9749431718817105
889	963	The canal still runs as an important part of the district	2167	en	Criteria viii	Criteria ix	Criteria vii	0.1697679758071899	0.4596657454967499	Criteria iv	Criteria ii	Criteria v	0.45456204	0.89034426	False	0.0	0.4806290361711018
890	964	The Cannaregio Canal in Cannaregio one of the six sestieri of Venice in Veneto, Italy	2168	en	Criteria ii	Criteria i	Criteria iv	0.2853909730911255	0.7444198280572891	Criteria i	Criteria iv	Criteria ii	0.51803833	0.8590578	False	1.0	0.7775703546722139
891	965	It was the main route into the city until the construction of a railway link to the mainland, gave the district its name (Canal Regio is Italian for Royal Canal)	2168	en	Criteria ii	Criteria iv	Criteria i	0.3823675811290741	0.8368937224149704	Criteria iv	Criteria ii	Criteria i	0.55808526	0.9032107	False	1.0	0.8858932545211743
892	966	Development began in the eleventh century as the area was drained and parallel canals were dredged	2168	en	Criteria iv	Criteria ii	Criteria iii	0.368754893541336	0.7745628952980042	Criteria iv	Criteria ii	Criteria i	0.6814503	0.90295744	True	0.5	0.8784824610853862
893	967	Although elegant palazzos were built facing the Grand Canal, the area grew primarily with working class housing and manufacturing	2168	en	Criteria iv	Criteria ii	Criteria i	0.6493576765060425	0.8969689235091209	Criteria iv	Criteria ii	Criteria vi	0.8589402	0.9409385	True	0.5	0.9749431718817105
894	968	The canal still runs as an important part of the district	2168	en	Criteria viii	Criteria ix	Criteria vii	0.1697679758071899	0.4596657454967499	Criteria iv	Criteria ii	Criteria v	0.45456204	0.89034426	False	0.0	0.4806290361711018
895	969	The Canale di San Pietro (Canal of Saint-Pierre) in Castello one of the six sestieri of Venice in Veneto, Italy	2169	en	Criteria i	Criteria vi	Criteria ii	0.3346787989139557	0.7170853763818741	Criteria i	Criteria iv	Criteria ii	0.6060961	0.8574767	True	0.5	0.8659428949818332
896	970	The name comes from the close lying island and its basilica	2169	en	Criteria iii	Criteria vi	Criteria iv	0.369754433631897	0.691182404756546	Criteria iii	Criteria iv	Criteria vi	0.60977435	0.90208256	True	1.0	0.9102614843399899
897	971	It is 455 meters long, extending the Rio dei Giardini northwards towards the lagoon east of Venice	2169	en	Criteria vii	Criteria viii	Criteria vi	0.4560009837150574	0.7031095623970032	Criteria i	Criteria vii	Criteria x	0.48283616	0.8110159	False	0.2	0.5899993435559264
898	972	It runs alongside the western part of the island of San Pietro	2169	en	Criteria vii	Criteria viii	Criteria ix	0.3264287710189819	0.7168499529361725	Criteria vii	Criteria viii	Criteria ix	0.49106374	0.82538486	True	1.0	0.9231826186728063
899	973	It has title of A busy day in Venice	2171	en	Criteria vi	Criteria viii	Criteria iii	0.2666121423244476	0.541950486600399	Criteria iv	Criteria i	Criteria vi	0.2906373	0.72503036	False	0.2	0.6382590079250943
900	974	It has tags of italy, canal, venice, water	2171	en	Criteria ii	Criteria iii	Criteria iv	0.4233318567276001	0.8400172889232635	Criteria i	Criteria ii	Criteria iv	0.44151452	0.85225844	False	0.5	0.5614422255561429
901	977	It has tags of bianco, nero, bw, black, white, san, giorgio, isola, island, arsenale, silhouette, batis, italy, venice, fog, winter, home, still, venezia, veneto, lagoon, laguna, acqua, sony, alpha, batis, zeiss, carlzeiss, art, fineart, amazing, stunning, beautiful, landscape, paesaggio, peaceful, calma, quiet, calm, wood, wooden, mist, haziness, misty, foschia, italia, surreal, bridge, ponte, canal, grande, man, woman, people	2175	en	Criteria vii	Criteria iii	Criteria vi	0.4069137871265411	0.7501656711101532	Criteria i	Criteria vi	Criteria ii	0.36690027	0.7242658	False	0.2	0.37892897110090973
902	978	The Rio di San Trovaso (Canal of Saints Gervais and Protais), in Dorsoduro one of the six sestieri of Venice in Veneto, Italy	2178	en	Criteria i	Criteria vi	Criteria iv	0.2906516492366791	0.7248383015394211	Criteria i	Criteria vi	Criteria iv	0.66633743	0.86285275	True	1.0	0.7816823276947394
903	979	It only has a length of around 350 meters, making the link between the Giudecca Canal and the Grand Canal in a south-north direction	2178	en	Criteria vii	Criteria viii	Criteria ix	0.3442376852035522	0.7589540258049965	Criteria i	Criteria vii	Criteria iv	0.6757474	0.82777405	False	0.2	0.22287778346321607
904	980	The name comes from the nearby San Trovaso church	2178	en	Criteria iii	Criteria vi	Criteria iv	0.4127515852451324	0.7790844440460205	Criteria iv	Criteria iii	Criteria i	0.5942978	0.8061274	False	0.5	0.4921843858889587
905	981	The name Trovasio is a popularized contraction of Saints Gervasio and Protasio	2178	en	Criteria vi	Criteria iii	Criteria iv	0.3459518551826477	0.777165874838829	Criteria vi	Criteria iv	Criteria iii	0.6438337	0.8590543	True	1.0	0.8067210389014362
906	982	Friends gave us a Gondola Tour for our 30th Anniversary.	2185	en	Criteria iii	Criteria i	Criteria iv	0.2810126543045044	0.628730982542038	Criteria i	Criteria vi	Criteria iv	0.31378004	0.67291975	False	0.5	0.7648790783131177
907	983	It has title of Gondola Tour at Dusk - Venice, Italy, July 2016	2185	en	Criteria vi	Criteria iii	Criteria iv	0.2992392778396606	0.6120157763361931	Criteria i	Criteria vii	Criteria vi	0.27582625	0.6388126	False	0.2	0.5753041628612775
908	984	It has tags of canal, taxi, water, july, italy, boat, venice, humid, hot	2185	en	Criteria iii	Criteria iv	Criteria v	0.3390461206436157	0.6809499189257622	Criteria v	Criteria vii	Criteria iii	0.32296634	0.699796	False	0.5	0.5371055365177905
909	985	A scene in Venice  where two canals intersect	2186	en	Criteria iv	Criteria iii	Criteria i	0.2883804738521576	0.6737269461154938	Criteria i	Criteria vi	Criteria iv	0.46229646	0.74245775	False	0.5	0.5741745675412734
910	986	It has tags of italy, venice, canal, monotone, bw	2186	en	Criteria ii	Criteria iii	Criteria vi	0.4587058126926422	0.83799909055233	Criteria i	Criteria ii	Criteria iv	0.68548036	0.9061092	False	0.2	0.2676215875375089
911	987	A view to Campanile San Giorgio across the Grand Canal	2193	en	Criteria i	Criteria iii	Criteria iv	0.2677129507064819	0.5655340105295181	Criteria i	Criteria vii	Criteria vi	0.40818354	0.74437505	True	0.2	0.8576885233621647
912	988	The San Marco Gondola Station at dawn, in Venice (where else..)	2193	en	Criteria vi	Criteria iii	Criteria iv	0.2805476188659668	0.7297080904245377	Criteria iv	Criteria i	Criteria vi	0.32217726	0.7892431	False	0.5	0.7914089427924209
913	989	Chiharu Shiota's spectacular exhibit for the Japanese Biennale pavilion	2197	en	Criteria vi	Criteria iii	Criteria i	0.2781189680099487	0.6318410038948059	Criteria i	Criteria ii	Criteria iv	0.7607449	0.8961512	False	0.2	0.4854227274172275
914	990	It has title of The KEY in the HAND	2197	en	Criteria x	Criteria ix	Criteria viii	0.3833539187908172	0.6491129174828529	Criteria i	Criteria iii	Criteria ii	0.47483996	0.7373696	False	0.0	0.18229082550452702
915	991	It has tags of chiharushiota, thekeyinthehand, venicebiennale, venice, italy, venezia, italia, modernart, art, red, keys, lumix, lx, panasonic	2197	en	Criteria iii	Criteria ii	Criteria vi	0.4419280290603637	0.8191991597414017	Criteria i	Criteria ii	Criteria vi	0.39798218	0.82907283	False	0.5	0.47849728861913365
916	992	'Actv 86' Venice ferry boat arriving at a waterbus stop, 20 April 2012,	2198	en	Criteria iii	Criteria vi	Criteria iv	0.3359512388706207	0.7948942631483078	Criteria iv	Criteria vi	Criteria ii	0.4944776	0.805526	False	0.5	0.6107293439030111
917	993	It has title of 'Actv 86' Venice ferry boat arriving at a waterbus stop, 20 April 2012,	2198	en	Criteria vi	Criteria iii	Criteria iv	0.3438611924648285	0.6904422864317894	Criteria iv	Criteria vi	Criteria ii	0.38280845	0.7776624	False	0.5	0.7715144952458058
918	994	'Actv 40' Venice ferry boat near the Rialto Bridge, 21 April 2012,	2199	en	Criteria vi	Criteria iii	Criteria iv	0.3343516886234283	0.797511026263237	Criteria vi	Criteria iv	Criteria iii	0.5217599	0.832634	True	1.0	0.8291241869162167
919	995	It has title of 'Actv 40' Venice ferry boat near the Rialto Bridge, 21 April 2012,	2199	en	Criteria vi	Criteria iii	Criteria iv	0.3151267170906067	0.6498052626848221	Criteria vi	Criteria iv	Criteria iii	0.43914175	0.7892011	True	1.0	0.8819408533763099
920	996	The Rio dei Tre Ponti (Three Bridges Canal), in Dorsoduro one of the six sestieri of Venice in Veneto, Italy	2215	en	Criteria i	Criteria vi	Criteria iv	0.2758094668388366	0.5785395205020905	Criteria iv	Criteria i	Criteria vi	0.47200447	0.77484286	False	1.0	0.7212424079100153
921	997	It extends for short distances between Rio Novo and that of Tentor, on which stands the new building of the Local social health of Venice	2215	en	Criteria iv	Criteria i	Criteria iii	0.2967834174633026	0.6599022299051285	Criteria i	Criteria iv	Criteria ii	0.4722423	0.8955209	False	0.5	0.8302819422782113
922	998	Today, along the river immediately next to the Piazzale Roma	2215	en	Criteria iii	Criteria vi	Criteria vii	0.1671940088272094	0.4690780788660049	Criteria iv	Criteria i	Criteria vi	0.5444297	0.86360776	False	0.2	0.4558528736176591
923	999	Rio delle Due Torri a canal in Santa Croce one of the six sestieri of Venice in Veneto, Italy	2218	en	Criteria i	Criteria iv	Criteria vi	0.4200684726238251	0.7326653152704239	Criteria i	Criteria iv	Criteria ii	0.56822056	0.82197016	True	0.5	0.9629201698608784
924	1000	The name comes from a house with two angular towers, which was found here around 1105, at the time of the famous devastating fire	2218	en	Criteria iv	Criteria iii	Criteria ii	0.3805961310863495	0.7240719795227051	Criteria iv	Criteria iii	Criteria i	0.6695341	0.9098208	True	0.5	0.8940171412831089
925	1001	Venetian texts of 1514 still speak of this casa da do toro	2218	en	Criteria vi	Criteria iii	Criteria iv	0.4300175607204437	0.8884357437491417	Criteria iii	Criteria iv	Criteria vi	0.87472653	0.93514955	False	1.0	0.6812090855856722
926	1002	It was customary to add towers to buildings during civil strife	2218	en	Criteria iv	Criteria iii	Criteria ii	0.3887625634670257	0.8825528621673584	Criteria iv	Criteria iii	Criteria vi	0.38262764	0.8157786	True	0.5	0.934633046283272
927	1003	The Rio do Torre is 72 meters long	2218	en	Criteria vii	Criteria viii	Criteria iii	0.3485064506530761	0.749179795384407	Criteria vii	Criteria x	Criteria viii	0.83364236	0.9181963	True	0.5	0.7306708041648541
928	1004	It extends the Rio de San Polo at its junction with the rielo Ca'Bernardo to the northeast, where it becomes Rio Mater Domini after the junction with the Rio de San Boldo	2218	en	Criteria viii	Criteria vii	Criteria ix	0.3560410737991333	0.6609409004449844	Criteria viii	Criteria ix	Criteria vii	0.37285584	0.8283124	True	1.0	0.9133029300100642
929	1005	The rio of Santa Maria Mater Domini has a length of 697 m and connects north-north-east the Grand Canal	2218	en	Criteria vii	Criteria viii	Criteria vi	0.2584332823753357	0.5492608025670052	Criteria i	Criteria iv	Criteria vi	0.81633353	0.8974385	False	0.2	0.31822474834766035
930	1006	It has tags of santacroce, italy, italianrepublic, repubblicaitaliana, europe, mediterranean, venice, veneto, venezia, venesia, urban, city, sestieri, venetianrepublic, giovanni, crusaderknight, hungariannobleman, riodelleduetorri, canal, stream, brook, creek, watercourse, reflection	2218	en	Criteria iii	Criteria ii	Criteria iv	0.4475515484809875	0.8385165333747864	Criteria iv	Criteria ii	Criteria iii	0.36298192	0.81428474	False	1.0	0.8235721143801474
931	1007	View from the top	2237	en	Criteria vii	Criteria iii	Criteria vi	0.8148691058158875	0.889459328725934	Criteria vii	Criteria x	Criteria viii	0.8433021	0.9264874	True	0.2	0.9977018479128072
932	1008	It has tags of italy, ocean, venice	2237	en	Criteria iii	Criteria ii	Criteria vi	0.3326585292816162	0.7018790543079376	Criteria i	Criteria ii	Criteria iv	0.39207068	0.737574	False	0.2	0.5677763840691838
933	1009	Just another canal	2238	en	Criteria viii	Criteria vii	Criteria x	0.3806609809398651	0.7346017882227898	Criteria vii	Criteria x	Criteria i	0.2428584	0.58579165	False	0.5	0.6891658068129951
934	1010	It has tags of italy, ocean, venice	2238	en	Criteria iii	Criteria ii	Criteria vi	0.3326585292816162	0.7018790543079376	Criteria i	Criteria ii	Criteria iv	0.39207068	0.737574	False	0.2	0.5677763840691838
935	1011	It has tags of italy, ocean, venice	2239	en	Criteria iii	Criteria ii	Criteria vi	0.3326585292816162	0.7018790543079376	Criteria i	Criteria ii	Criteria iv	0.39207068	0.737574	False	0.2	0.5677763840691838
936	1012	It has title of Concealed Venice's canal	2251	en	Criteria vi	Criteria iii	Criteria iv	0.3260983526706695	0.7266424596309662	Criteria i	Criteria iv	Criteria iii	0.6258504	0.7924078	False	0.5	0.4425011515778979
937	1015	It has title of DOGE'S PALACE- FIRE PLACE- VENICE, ITALY	2259	en	Criteria vi	Criteria iii	Criteria iv	0.3711228668689728	0.8310588300228119	Criteria vi	Criteria iv	Criteria i	0.42734212	0.8014931	True	0.5	0.9107797366640626
938	1016	It has title of COMPANILE- BELL TOWER- ST MARKS SQUARE- VENICE, ITALY	2260	en	Criteria i	Criteria vi	Criteria iv	0.4796665906906128	0.8017535656690598	Criteria iv	Criteria ii	Criteria i	0.26571155	0.71244997	False	0.5	0.8110808366177868
939	1017	The Palazzo Cavalli-Franchetti in San Marco one of the six sestieri of Venice in Veneto, Italy	2263	en	Criteria vi	Criteria i	Criteria ii	0.3301626443862915	0.6887910664081573	Criteria i	Criteria iv	Criteria vi	0.65101564	0.87765473	False	0.5	0.5569753873896814
940	1018	It is not far from the Ponte dell'Accademia and next to the Palazzo Barbaro on the Grand Canal of Venice	2263	en	Criteria i	Criteria vi	Criteria iii	0.3424160778522491	0.7126788645982742	Criteria i	Criteria iv	Criteria vi	0.6852309	0.8863208	True	0.5	0.8303031613669721
